2021-08-29 10:36:32.339 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_mapag.xml
2021-08-29 10:36:32.340 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_mapag_no.png
2021-08-29 10:36:32.341 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_mapag_si.png
2021-08-29 10:36:32.343 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_mms.xml
2021-08-29 10:36:32.344 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_mms_no.png
2021-08-29 10:36:32.346 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_mms_si.png
2021-08-29 10:36:32.347 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_producto.xml
2021-08-29 10:36:32.349 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_producto2.xml
2021-08-29 10:36:32.350 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_producto2_no.png
2021-08-29 10:36:32.351 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_producto2_si.png
2021-08-29 10:36:32.351 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_producto_no.png
2021-08-29 10:36:32.352 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_producto_si.png
2021-08-29 10:36:32.352 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_qr.xml
2021-08-29 10:36:32.352 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_qr_no.png
2021-08-29 10:36:32.353 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_qr_si.png
2021-08-29 10:36:32.353 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_shopper.xml
2021-08-29 10:36:32.354 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_shopper_no.png
2021-08-29 10:36:32.354 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_shopper_si.png
2021-08-29 10:36:32.354 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_sms.xml
2021-08-29 10:36:32.355 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_sms_no.png
2021-08-29 10:36:32.355 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_sms_si.png
2021-08-29 10:36:32.355 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_traducir.xml
2021-08-29 10:36:32.356 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_traducir_no.png
2021-08-29 10:36:32.356 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_traducir_si.png
2021-08-29 10:36:32.356 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_wifi.xml
2021-08-29 10:36:32.357 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_wifi_no.png
2021-08-29 10:36:32.357 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_wifi_si.png
2021-08-29 10:36:32.357 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_ayuda.xml
2021-08-29 10:36:32.357 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_ayuda_no.png
2021-08-29 10:36:32.357 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_ayuda_si.png
2021-08-29 10:36:32.357 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_barscan.xml
2021-08-29 10:36:32.358 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_barscan_no.png
2021-08-29 10:36:32.358 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_barscan_si.png
2021-08-29 10:36:32.358 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_buscar.xml
2021-08-29 10:36:32.358 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_buscar_no.png
2021-08-29 10:36:32.358 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_buscar_si.png
2021-08-29 10:36:32.358 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_calendario.xml
2021-08-29 10:36:32.359 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_calendario_no.png
2021-08-29 10:36:32.359 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_calendario_si.png
2021-08-29 10:36:32.359 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_compartir.xml
2021-08-29 10:36:32.359 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_compartir_no.png
2021-08-29 10:36:32.359 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_compartir_si.png
2021-08-29 10:36:32.359 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_copiar.xml
2021-08-29 10:36:32.359 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_copiar_no.png
2021-08-29 10:36:32.359 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_copiar_si.png
2021-08-29 10:36:32.360 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_editar.xml
2021-08-29 10:36:32.360 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_editar_no.png
2021-08-29 10:36:32.360 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_editar_si.png
2021-08-29 10:36:32.360 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_equis.xml
2021-08-29 10:36:32.360 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_equis_no.png
2021-08-29 10:36:32.360 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_equis_si.png
2021-08-29 10:36:32.360 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_estrellaoff.xml
2021-08-29 10:36:32.360 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_estrellaoff_no.png
2021-08-29 10:36:32.361 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_estrellaoff_si.png
